music
id, title, singer, hits, type
10001, Perfect Night, 르세라핌, 10, 발라드
10002, Drama, aespa, 10, 발라드
10003, 사랑은 늘 도망가, 임영웅, 10, 발라드
10004, To. X, 태연, 10, 발라드
10005, Baddie, IVE, 10, 발라드
10006, Love Lee, AKMU, 10, 발라드
10007, Do or Die, 임영웅, 10, 발라드
10008, 우리들의 블루스, 임영웅, 10, 발라드
10009, 다시 만날 수 있을까, 임영웅, 10, 발라드
10010, You & Me, 제니, 10, 발라드
10011, 후라이의 꿈, AKMU, 10, 발라드
10012, 헤어지자 말해요, 박재정, 10, 발라드
10013, Standing Next to You, 정국, 10, 발라드
10014, Super Shy, NewJeans, 10, 발라드
10015, 사막에서 꽃을 피우듯, 우디, 10, 발라드
10016, ETA, NewJeans, 10, 발라드
10017, Chill Kill, Red Velvet, 10, 발라드
10018, 음악의 신, 세븐틴, 10, 발라드
10019, 별 떨어진다, 디오, 10, 발라드
10020, 첫 눈, EXO, 10, 발라드
